year,state,p_poor_mental,gun_suicides,population,fem_fs_s,male_fs_s,mean_fs_s
1995,Arizona,0.07900318133616119,546,4307428,0.479289941,0.731132075,0.6052110079999999
1995,Arkansas,0.08027133973996609,257,2480388,0.7,0.74137931,0.7206896549999999
1995,California,0.08366633366633366,1909,31487150,0.360264901,0.556992174,0.4586285375
1995,Colorado,0.08323083230832308,345,3739024,0.330882353,0.579150579,0.455016466
1995,Connecticut,0.0805840995132504,142,3262453,0.213114754,0.503816794,0.358465774
1995,Delaware,0.09601536245799328,39,719012,0.235294118,0.555555556,0.395424837
1995,Florida,0.10294564227148496,1294,14184119,0.434782609,0.638888889,0.536835749
1995,Georgia,0.07398066414459857,590,7191233,0.670967742,0.737313433,0.7041405875
1995,Hawaii,0.053914674167838725,41,1183686,0.242424242,0.339449541,0.2909368915
1995,Idaho,0.08373471656168952,132,1163855,0.617647059,0.730263158,0.6739551085
1995,Illinois,0.058434782608695654,537,11870440,0.275700935,0.528761062,0.4022309985
1995,Indiana,0.10506167588260315,449,5788240,0.433962264,0.680743243,0.5573527535
1995,Iowa,0.0930621342992477,178,2841450,0.26,0.578947368,0.419473684
1995,Kansas,0.0891492613346918,191,2575730,0.531914894,0.680327869,0.6061213815
1995,Kentucky,0.15782774713619008,351,3856800,0.546666667,0.765432099,0.656049383
1995,Louisiana,0.09057527539779682,410,4329806,0.677966102,0.788732394,0.7333492479999999
1995,Maine,0.06309148264984227,92,1233432,0.375,0.613138686,0.494069343
1995,Maryland,0.06635071090047394,256,5025405,0.317647059,0.563679245,0.440663152
1995,Massachusetts,0.09295612009237875,145,6059739,0.157894737,0.349333333,0.253614035
1995,Michigan,0.09743171626579698,577,9665782,0.273255814,0.655940594,0.464598204
1995,Minnesota,0.09076803723816912,270,4605968,0.204545455,0.583333333,0.393939394
1995,Mississippi,0.08990228013029317,255,2691564,0.839285714,0.790874525,0.8150801194999999
1995,Missouri,0.08896103896103896,452,5338642,0.475409836,0.659432387,0.5674211115
1995,Montana,0.07659574468085106,125,868835,0.451612903,0.7,0.5758064515
1995,Nebraska,0.08314732142857142,104,1635969,0.25,0.670967742,0.460483871
1995,Nevada,0.09765625,265,1528532,0.597222222,0.687306502,0.6422643619999999
1995,New Hampshire,0.07619689817936615,82,1146333,0.35,0.641025641,0.4955128205
1995,New Jersey,0.06840390879478828,194,7964199,0.142857143,0.386266094,0.2645616185
1995,New Mexico,0.08451816745655608,187,1684067,0.5,0.657142857,0.5785714285
1995,New York,0.09884201819685691,515,18152533,0.145522388,0.438294011,0.2919081995
1995,North Carolina,0.06521739130434782,609,7187248,0.476683938,0.723076923,0.5998804305000001
1995,North Dakota,0.07937365010799136,50,641596,0.461538462,0.679012346,0.570275404
1995,Ohio,0.07617625093353249,634,11142024,0.430769231,0.623582766,0.5271759985
1995,Oklahoma,0.045274476513865305,333,3272564,0.53125,0.699507389,0.6153786944999999
1995,Oregon,0.09293286219081272,310,3141693,0.494382022,0.654411765,0.5743968935
1995,Pennsylvania,0.08566581849024597,830,12043481,0.361867704,0.613144759,0.4875062315
1995,Rhode Island,0.10376282782212087,27,989437,0.1,0.47826087,0.289130435
1995,South Carolina,0.06963927855711423,293,3700463,0.6,0.716763006,0.658381503
1995,South Dakota,0.04799107142857143,50,734861,0.466666667,0.704225352,0.5854460095
1995,Tennessee,0.0743142144638404,490,5236425,0.644628099,0.748214286,0.6964211924999999
1995,Texas,0.09632751354605659,1469,18700060,0.49339207,0.699438202,0.596415136
1995,Utah,0.08585331942996177,166,1991963,0.327586207,0.639130435,0.483358321
1995,Vermont,0.0963509635096351,28,582415,0.625,0.65,0.6375
1995,Virginia,0.09209778283115407,547,6604185,0.450617284,0.714285714,0.582451499
1995,Washington,0.08764455264759587,455,5434531,0.410958904,0.622047244,0.5165030740000001
1995,West Virginia,0.09411276948590382,221,1821919,0.641025641,0.827004219,0.7340149300000001
